Component,Description,Part,References,Value,Footprint,PartNumber,Quantity Per PCB,Spec,Tolerance,Voltage,Sim.Device,Sim.Pins,Name,mpn,Power
38,Resistor,R,R12 R16 R23 R59 R60 R64 R67 R68 R70 R71 R80 R82 R97,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,13,metal film,1%,,,,,,0.5W
39,Resistor,R,R79 R100 R107 R111 R114 R125 R126,20k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,7,metal film,1%,,,,,,0.5W
40,Resistor,R,R50 R94,33k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,2,metal film,1%,,,,,,0.5W
41,Resistor,R,R9 R11 R40 R47 R56 R58 R61,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,7,metal film,1%,,,,,,0.5W
42,Resistor,R,R118,51k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1,metal film,1%,,,,,,0.5W
43,Resistor,R,R1 R6 R7 R10 R14 R15 R18 R20 R24 R25 R28 R29 R30 R31 R32 R34 R36 R38 R48 R49 R51 R52 R53 R62 R63 R65 R73 R74 R76 R78 R83 R88 R89 R92 R93 R99 R101 R102 R104 R105 R106 R109 R119 R120 R122 R128 R129,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,47,metal film,1%,,,,,,0.5W
44,Resistor,R,R26 R57,120k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,2,metal film,1%,,,,,,0.5W
45,Resistor,R,R123 R124 R127,180k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,3,metal film,1%,,,,,,0.5W
46,Resistor,R,R17 R77 R85 R112,220k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,4,metal film,1%,,,,,,0.5W
47,Resistor,R,R19 R72 R121,330k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,3,metal film,1%,,,,,,0.5W
48,Resistor,R,R3 R54 R66,560k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,3,metal film,1%,,,,,,0.5W
49,Resistor,R,R130,1M5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1,metal film,1%,,,,,,0.5W
50,Trim-potentiometer,R_Potentiometer_Trim,RV22,100r,Potentiometer_THT_Bourns_3306P_Vertical,,1,single turn,,,,,,,
